airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Nasti Airlines,"$1,818",514359,329190,0.14%,0.24%,64.00%,"-$108,839"
Natasha Airlines,"$1,103",805831,427090,0.32%,0.53%,53.00%,"$301,061"
Neanderthal Airlines,$434,1886746,679229,1.25%,1.97%,36.00%,"$4,444,415"
Neapolitan Mastiff Airlines,"$1,696",740970,81507,0.14%,0.25%,11.00%,"$1,434,443"
Neem Airlines,$209,1817939,290870,1.17%,2.41%,16.00%,"$2,987,966"
Nekkar Airlines,$371,903214,135482,1.02%,1.53%,15.00%,"$2,635,579"
Nembus Airlines,$957,209362,136085,0.31%,0.50%,65.00%,"-$21,772"
Nenque Airlines,"$1,229",271680,81504,0.35%,0.52%,30.00%,"$653,934"
Nervia Airlines,"$1,695",59146,5915,0.25%,0.35%,10.00%,"$216,827"
Nettle Airlines,$796,1638772,1114365,0.41%,0.56%,68.00%,"$367,740"
Neufchatel Airlines,"$1,731",1297172,570756,0.25%,0.38%,44.00%,"$1,882,973"
New Zealand Flax Airlines,$499,1940270,1591021,0.44%,0.68%,82.00%,"-$1,086,162"
Newfoundland Airlines,"$1,248",1062761,159414,0.39%,0.55%,15.00%,"$4,011,924"
Newt Airlines,$432,990317,722931,0.89%,1.50%,73.00%,"-$864,643"
Nganurganity Airlines,"$1,999",1159754,765438,0.09%,0.18%,66.00%,"-$514,004"
Night Scented Gilli Flower Airlines,$764,559520,16786,0.45%,0.77%,3.00%,"$1,837,573"
Nightingale Airlines,$540,705078,91660,0.37%,0.79%,13.00%,"$1,014,467"
Nightshade Airlines,"$1,194",858182,411927,0.29%,0.41%,48.00%,"$917,227"
Nihal Airlines,"$1,682",1297105,609639,0.15%,0.27%,47.00%,"$495,625"
Nikawiy Airlines,$567,118718,43926,0.85%,1.16%,37.00%,"$281,692"
Niolo Airlines,"$1,363",334068,213804,0.34%,0.47%,64.00%,"$201,774"
Nitratoides Airlines,"$1,197",296965,166300,0.45%,0.65%,56.00%,"$301,482"
Nodding Onion Airlines,$763,1743183,906455,0.47%,0.87%,52.00%,"$214,064"
Nodding Thistle Airlines,"$1,249",494303,316354,0.23%,0.47%,64.00%,"-$397,816"
Nokkelost Airlines,"$1,705",835902,33436,0.24%,0.39%,4.00%,"$3,186,459"
Norfolk Terrier Airlines,"$1,292",1742693,522808,0.30%,0.46%,30.00%,"$3,684,052"
North American Black Bear Airlines,$988,223530,118471,0.53%,0.76%,53.00%,"$280,529"
Northern Inuit Dog Airlines,"$1,383",659435,309934,0.35%,0.47%,47.00%,"$1,173,599"
Northern Red Oak Airlines,"$1,965",995136,189076,0.14%,0.20%,19.00%,"$2,024,803"
Northumberland Airlines,$392,381073,194347,0.56%,0.94%,51.00%,"$126,974"
Norwegian Forest Airlines,$290,961961,173153,0.58%,1.53%,18.00%,"$855,183"
Nosaxa Airlines,"$1,264",1267466,773154,0.14%,0.31%,61.00%,"-$757,056"
Nosebleed Airlines,$552,1016156,650340,0.53%,1.00%,64.00%,"-$635,708"
Numbat Airlines,$889,1423605,925343,0.48%,0.63%,65.00%,"$859,147"
Nunki Airlines,"$1,302",1748839,332279,0.30%,0.45%,19.00%,"$4,982,445"
Nurse Shark Airlines,"$1,241",55084,22584,0.37%,0.63%,41.00%,"$77,330"
Nusakan Airlines,"$1,894",1596526,351236,0.19%,0.27%,22.00%,"$3,966,727"
Nushagak Airlines,$471,660500,548215,0.92%,1.57%,83.00%,"-$1,208,913"
Nyamien Airlines,"$1,022",972223,281945,0.40%,0.55%,29.00%,"$2,354,528"
Oak Tree Quercus Airlines,$460,860985,129148,0.71%,1.28%,15.00%,"$2,057,322"
Oaxaca Airlines,$279,87465,58602,1.88%,2.31%,67.00%,"$80,920"
Ocelot Airlines,"$1,937",158623,3172,0.13%,0.27%,2.00%,"$374,924"
Ochrogaster Airlines,"$1,242",227477,170608,0.43%,0.64%,75.00%,"-$141,606"
Ochrogenys Airlines,$483,1779517,88976,1.01%,1.42%,5.00%,"$8,039,857"
Octopus Airlines,"$1,146",1526876,1129888,0.15%,0.28%,74.00%,"-$980,864"
Ogma Airlines,$923,522446,41796,0.22%,0.55%,8.00%,"$868,304"
Okab Airlines,"$1,461",1075580,193604,0.18%,0.29%,18.00%,"$2,056,726"
Okapi Airlines,"$1,806",1896006,208561,0.27%,0.42%,11.00%,"$7,743,286"
Old English Sheepdog Airlines,"$1,648",689543,372353,0.12%,0.26%,54.00%,"-$191,278"
Olde York Airlines,"$1,115",244478,122239,0.39%,0.52%,50.00%,"$356,938"
Olive Airlines,$508,788943,512813,0.74%,1.36%,65.00%,"-$558,966"
Olivet Au Foin Airlines,"$1,973",827913,49675,0.23%,0.28%,6.00%,"$3,465,974"
Olivet Bleu Airlines,$937,644360,90210,0.19%,0.32%,14.00%,"$903,007"
Olivet Cendre Airlines,"$1,983",1747675,314582,0.08%,0.21%,18.00%,"$1,440,082"
Olm Airlines,$206,1967969,1456297,1.13%,2.01%,74.00%,"-$1,443,702"
Onion Airlines,$257,656537,453011,1.26%,2.47%,69.00%,"-$744,910"
Opossum Airlines,$499,1298841,376664,0.33%,0.69%,29.00%,"$880,874"
Orang-utan Airlines,"$1,452",456762,315166,0.36%,0.44%,69.00%,"$347,549"
Orange Airlines,"$1,065",1445146,592510,0.51%,0.75%,41.00%,"$3,156,342"
Orange Coneflower Airlines,"$1,617",331720,281962,0.16%,0.31%,85.00%,"-$562,597"
Orange Milkweed Airlines,$868,1434943,846616,0.22%,0.53%,59.00%,"-$1,202,624"
Orange Root Airlines,"$1,646",1916806,1245924,0.13%,0.32%,65.00%,"-$2,530,184"
Orange Swallow Wort Airlines,$435,842331,84233,0.85%,1.25%,10.00%,"$2,642,393"
Ordii Airlines,"$1,879",952825,562167,0.16%,0.32%,59.00%,"-$379,893"
Oregoni Airlines,$597,445953,173922,0.82%,1.20%,39.00%,"$947,068"
Orkney Extra Mature Cheddar Airlines,"$1,996",96948,63016,0.13%,0.21%,65.00%,"-$19,340"
Orla Airlines,"$1,423",1450657,1015460,0.27%,0.39%,70.00%,"-$43,520"
Osage Airlines,"$1,101",173735,74706,0.42%,0.63%,43.00%,"$287,931"
Osage Orange Airlines,$267,892549,598008,1.08%,1.80%,67.00%,"-$305,877"
Oschtjepka Airlines,"$1,167",620630,43444,0.37%,0.47%,7.00%,"$2,425,733"
Osier Salix Airlines,"$1,774",281201,165909,0.12%,0.18%,59.00%,"$80,591"
Ossau Fermier Airlines,$398,691664,297416,1.25%,1.89%,43.00%,"$1,197,059"
Ossau-Iraty Airlines,"$1,894",906603,380773,0.15%,0.21%,42.00%,"$1,030,627"
Ostrich Airlines,"$1,197",912860,255601,0.34%,0.46%,28.00%,"$2,297,850"
Oszczypek Airlines,$412,1853266,1538211,1.34%,2.11%,83.00%,"-$3,084,578"
Otter Airlines,$824,510341,275584,0.44%,0.68%,54.00%,"$299,061"
Oxford Blue Airlines,"$1,722",230603,136056,0.28%,0.34%,59.00%,"$301,858"
Oxford Ragwort Airlines,$762,62400,48672,0.23%,0.63%,78.00%,"-$126,298"
Oyster Airlines,"$1,258",1144191,492002,0.31%,0.49%,43.00%,"$1,510,104"
P'Tit Berrichon Airlines,"$1,272",947950,568770,0.16%,0.41%,60.00%,"-$1,048,433"
Pacific Dogwood Airlines,"$1,621",1984036,858723,0.33%,0.42%,43.28%,"$4,809,625"
Paddlefish Airlines,$730,1634739,817370,0.44%,0.84%,50.00%,"$261,555"
Pademelon Airlines,"$1,244",1683515,370373,0.30%,0.44%,22.00%,"$4,285,221"
Paikauhale Airlines,"$1,822",753398,640388,0.17%,0.23%,85.00%,"-$361,253"
Pale Corydalis Airlines,"$1,886",574569,212591,0.18%,0.29%,37.00%,"$817,896"
Palet De Babligny Airlines,"$1,742",1034334,41373,0.17%,0.35%,4.00%,"$2,839,456"
Palmeri Airlines,"$1,976",1773258,1223548,0.20%,0.27%,69.00%,"$421,149"
Panamintinus Airlines,$757,1871284,93564,0.42%,0.71%,5.00%,"$5,507,190"
Paneer Airlines,"$1,832",1716016,583445,0.09%,0.17%,34.00%,"$1,097,222"
Panela Airlines,"$1,155",1682920,925606,0.25%,0.41%,55.00%,"$355,096"
Pangolin Airlines,"$1,110",1074367,676851,0.33%,0.44%,63.00%,"$696,406"
Pannerone Airlines,$820,1875303,618850,0.65%,0.97%,33.00%,"$5,075,507"
Pant Ys Gawn Airlines,"$1,937",1565429,438320,0.20%,0.34%,28.00%,"$3,053,214"
Panther Airlines,"$1,495",1384387,886008,0.14%,0.24%,64.00%,"-$343,883"
Paper Birch Airlines,$950,1577447,205068,0.58%,0.87%,13.00%,"$7,053,397"
Parmesan Airlines,"$1,126",1774221,620977,0.15%,0.37%,35.00%,"$474,606"
Parmigiano Reggiano Airlines,"$1,271",698974,41938,0.36%,0.57%,6.00%,"$2,871,388"
Parrot Airlines,"$1,534",16426,11827,0.32%,0.50%,72.00%,"-$11,592"
Parsley Airlines,$417,616551,376096,0.36%,1.04%,61.00%,"-$698,860"
Parsnip Airlines,"$1,722",559965,464771,0.11%,0.19%,83.00%,"-$485,658"
Parumleo Airlines,$996,1947485,0,0.42%,0.69%,0.00%,"$8,198,912"
Pas De L'Escalette Airlines,"$1,120",1487665,952106,0.26%,0.46%,64.00%,"-$490,336"
Passendale Airlines,"$1,645",607778,249189,0.11%,0.28%,41.00%,"-$32,942"
Pasteurized Processed Airlines,$453,887691,710153,0.98%,1.66%,80.00%,"-$1,402,553"
Patas Monkey Airlines,"$1,526",597484,95597,0.26%,0.45%,16.00%,"$1,666,744"
Pate De Fromage Airlines,"$1,674",1498496,1243752,0.16%,0.23%,83.00%,"-$645,254"
Patefine Fort Airlines,"$1,400",1190921,786008,0.39%,0.58%,66.00%,"$135,764"
Pave D'Affinois Airlines,"$1,913",110253,82690,0.24%,0.38%,75.00%,"-$99,781"
Pave D'Auge Airlines,$752,978720,313190,0.31%,0.54%,32.00%,"$979,505"
Pave De Chirac Airlines,"$1,249",1867060,1138907,0.38%,0.56%,61.00%,"$851,563"
Pave Du Berry Airlines,$714,371027,63075,0.69%,0.87%,17.00%,"$1,444,257"
Pea Airlines,$853,363117,239657,0.38%,0.59%,66.00%,"-$31,445"
Peach Airlines,$369,1481688,844562,1.44%,1.83%,57.00%,"$2,143,707"
Peacock Airlines,"$1,593",216734,138710,0.17%,0.24%,64.00%,"$72,648"
Peacock Airlines,"$1,925",1302285,846485,0.14%,0.27%,65.00%,"-$748,161"
Peanut Airlines,$737,914293,539433,0.50%,0.91%,59.00%,"-$245,854"
Pear Airlines,"$1,969",144914,76804,0.08%,0.17%,53.00%,"-$29,184"
Pecorino Airlines,"$1,051",68889,50978,0.34%,0.56%,74.00%,"-$54,354"
Pecorino In Walnut Leaves Airlines,"$1,058",1662655,16627,0.49%,0.73%,1.00%,"$8,468,231"
Pecorino Romano Airlines,$884,1846187,867708,0.58%,0.78%,47.00%,"$3,435,938"
Pedunculate Oak Airlines,"$1,157",683573,27343,0.48%,0.68%,4.00%,"$3,580,008"
Peekskill Pyramid Airlines,"$1,583",975812,722101,0.30%,0.44%,74.00%,"-$329,630"
Pekingese Airlines,$759,119631,26319,0.36%,0.75%,22.00%,"$176,168"
Pelardon Des Cevennes Airlines,"$1,527",1546854,15469,0.17%,0.32%,1.00%,"$4,054,147"
Pelardon Des Corbieres Airlines,$707,1914127,95706,0.59%,0.78%,5.00%,"$7,494,766"
Pelican Airlines,$776,1706459,1313973,0.40%,0.76%,77.00%,"-$2,522,826"
Pellitory Airlines,$976,1852811,1389608,0.35%,0.63%,75.00%,"-$2,274,324"
Penamellera Airlines,$780,1483473,222521,0.58%,0.77%,15.00%,"$5,347,178"
Penbryn Airlines,"$1,093",1571256,298539,0.42%,0.55%,19.00%,"$5,479,910"
Pencarreg Airlines,"$1,027",1066258,575779,0.21%,0.47%,54.00%,"-$449,959"
Penguin Airlines,$869,868157,60771,0.21%,0.59%,7.00%,"$1,288,084"
Pennsylvania Blackberry Airlines,$298,219015,13141,1.50%,2.48%,6.00%,"$883,944"
Pennsylvanicus Airlines,$455,412062,144222,0.67%,1.22%,35.00%,"$459,035"
Penny Hedge Airlines,$745,710968,547445,0.36%,0.62%,77.00%,"-$596,998"
Pepper Jack Airlines,"$1,031",1683186,1363381,0.39%,0.58%,81.00%,"-$1,247,916"
Pepper Root Airlines,"$1,234",1142845,114285,0.21%,0.31%,10.00%,"$2,594,256"
Perail De Brebis Airlines,"$1,952",1011666,657583,0.21%,0.36%,65.00%,"-$461,320"
Pere Davids Deer Airlines,$955,1995131,219464,0.28%,0.52%,11.00%,"$4,320,458"
Peregrine Falcon Airlines,"$1,860",1889252,453420,0.09%,0.16%,24.00%,"$1,953,488"
Perennial Thistle Airlines,$633,1539077,877274,0.87%,1.27%,57.00%,"$1,435,804"
Persian Airlines,"$1,380",1503087,1112284,0.20%,0.33%,74.00%,"-$1,013,079"
Petit Basset Griffon Vendéen Airlines,"$1,995",1612667,903094,0.16%,0.31%,56.00%,"-$405,750"
Petit Morin Airlines,"$1,077",1731004,1038602,0.38%,0.53%,60.00%,"$1,045,529"
Petit Pardou Airlines,"$1,898",194607,140117,0.16%,0.29%,72.00%,"-$163,703"
Petit-Suisse Airlines,"$1,046",1378659,1116714,0.21%,0.37%,81.00%,"-$1,354,947"
Petra Airlines,"$1,245",32313,24881,0.28%,0.43%,77.00%,"-$21,285"
Petty Morel Airlines,"$1,241",84120,31966,0.36%,0.62%,38.00%,"$132,200"
Phact Airlines,$668,769511,0,0.39%,0.57%,0.00%,"$2,008,424"
Pheasant Airlines,"$1,123",435944,165659,0.41%,0.59%,38.00%,"$900,397"
Phecda Airlines,$771,289802,63756,0.31%,0.50%,22.00%,"$441,718"
Pherkad Airlines,$450,1620277,615705,1.00%,1.47%,38.00%,"$3,211,391"
Phoenicia Airlines,$983,988112,167979,0.31%,0.61%,17.00%,"$1,989,465"
Piautos Airlines,$869,562820,247641,0.22%,0.34%,44.00%,"$325,760"
Picodon De Chevre Airlines,$945,1144068,720763,0.45%,0.56%,63.00%,"$1,004,948"
Picos De Europa Airlines,$275,1432257,386709,0.98%,2.11%,27.00%,"$1,613,726"
Pied Tamarin Airlines,$790,585069,251580,0.63%,0.95%,43.00%,"$1,051,893"
Pig Airlines,$848,1409408,845645,0.37%,0.66%,60.00%,"-$298,796"
Pigeon Berry Airlines,"$1,348",786152,306599,0.20%,0.36%,39.00%,"$622,005"
Pika Airlines,$838,915964,412184,0.18%,0.51%,45.00%,"-$354,479"
Pike Fish Airlines,$565,1702627,1362102,0.85%,1.39%,80.00%,"-$2,533,512"
Pin Oak Airlines,$937,928688,677942,0.51%,0.69%,73.00%,"$60,366"
Pinconning Airlines,"$1,460",1178821,247552,0.35%,0.43%,21.00%,"$4,474,100"
Pincoya Airlines,$893,1300018,52001,0.52%,0.83%,4.00%,"$5,671,716"
Pine Airlines,"$1,743",1813399,1341915,0.27%,0.39%,74.00%,"-$501,947"
Pineapple Airlines,$718,954946,57297,0.28%,0.49%,6.00%,"$1,696,938"
Pinetorum Airlines,$368,1373913,1140348,1.07%,1.90%,83.00%,"-$2,569,219"
Pink Corydalis Airlines,"$1,320",1767681,919194,0.15%,0.33%,52.00%,"-$586,163"
Pink Fairy Armadillo Airlines,"$1,507",598438,233391,0.36%,0.52%,39.00%,"$1,447,620"
Piora Airlines,"$1,647",159110,70008,0.15%,0.24%,44.00%,"$123,025"
Pipirima Airlines,"$1,408",1213985,776950,0.25%,0.39%,64.00%,"-$39,817"
Pipoltr Airlines,"$1,867",317133,47570,0.15%,0.22%,15.00%,"$665,345"
Piranha Airlines,$545,1029027,627706,0.74%,1.28%,61.00%,"-$224,119"
Pistachio Airlines,"$1,127",1171499,175725,0.17%,0.29%,15.00%,"$1,674,657"
Pithtviers Au Foin Airlines,"$1,121",1326249,464187,0.38%,0.55%,35.00%,"$2,816,954"
Plane European Sycamore Airlines,"$1,366",1349076,458686,0.30%,0.48%,34.00%,"$2,549,753"
Plantain Airlines,$417,275990,104876,1.31%,1.78%,38.00%,"$723,868"
Plateau De Herve Airlines,$962,117759,94207,0.43%,0.61%,80.00%,"-$69,948"
Platypus Airlines,"$1,535",1144317,938340,0.13%,0.29%,82.00%,"-$1,825,644"
Pleione Airlines,"$1,549",523871,73342,0.18%,0.36%,14.00%,"$1,026,787"
Pleurisy Root Airlines,"$1,296",669810,267924,0.17%,0.28%,40.00%,"$499,678"
Plymouth Cheese Airlines,"$1,767",459296,179125,0.09%,0.17%,39.00%,"$172,513"
Pocan Bush Airlines,"$1,309",1386921,374469,0.28%,0.43%,27.00%,"$3,058,575"
Podhalanski Airlines,"$1,111",716670,437169,0.46%,0.58%,61.00%,"$848,034"
Poerava Airlines,"$1,234",1596858,510995,0.26%,0.38%,32.00%,"$2,638,646"
Pointer Airlines,$281,764688,412932,1.85%,2.57%,54.00%,"$987,362"
Poison Berry Airlines,$548,282403,90369,0.72%,1.10%,32.00%,"$563,902"
Poison Dart Frog Airlines,$904,1065677,522182,0.32%,0.63%,49.00%,"$161,449"
Poison Flower Airlines,$247,36205,6879,1.17%,1.81%,19.00%,"$74,245"
Poison Ivy Airlines,"$1,124",1802801,1478297,0.27%,0.45%,82.00%,"-$2,042,214"
Poivre D'Ane Airlines,"$1,996",993556,715360,0.18%,0.33%,72.00%,"-$1,125,101"
Poke Airlines,"$1,349",1537075,92225,0.21%,0.43%,6.00%,"$3,909,086"
Pokeroot Airlines,"$1,761",956142,420702,0.26%,0.35%,44.00%,"$1,748,595"
Pokeweed Airlines,"$1,959",192150,151799,0.21%,0.33%,79.00%,"-$210,408"
Polar Bear Airlines,"$1,125",1106229,752236,0.16%,0.29%,68.00%,"-$512,849"
Polaris Airlines,$615,1083273,238320,0.31%,0.54%,22.00%,"$1,264,613"
Polaris Australis Airlines,$616,111335,31174,0.32%,0.49%,28.00%,"$125,496"
Polecat Weed Airlines,"$1,427",1435437,961743,0.37%,0.44%,67.00%,"$1,505,916"
Polis Airlines,"$1,843",970583,679408,0.09%,0.24%,70.00%,"-$1,372,404"
Polkolbin Airlines,$208,1852652,537269,1.16%,2.24%,29.00%,"$1,961,218"
Polkweed Airlines,"$1,663",785353,172778,0.20%,0.35%,22.00%,"$1,560,023"
Pollux Airlines,$831,171318,34264,0.30%,0.65%,20.00%,"$237,787"
Pond Skater Airlines,"$1,038",69756,57200,0.24%,0.47%,82.00%,"-$103,156"
Pont L'Eveque Airlines,$383,852520,272806,0.46%,0.96%,32.00%,"$519,016"
Poodle Airlines,"$1,215",881033,519809,0.16%,0.29%,59.00%,"-$60,878"
Pool Frog Airlines,"$1,015",1205510,289322,0.25%,0.55%,24.00%,"$1,423,468"
Poor Annie Airlines,"$1,779",1414406,608195,0.25%,0.33%,43.00%,"$2,651,302"
Poor Mans Mustard Airlines,"$1,518",1219694,500075,0.26%,0.34%,41.00%,"$2,235,819"
Poorland Daisy Airlines,"$1,044",1393460,27869,0.38%,0.48%,2.00%,"$5,379,314"
Poplar Airlines,"$1,497",697823,104673,0.36%,0.51%,15.00%,"$3,004,131"
Poppy Airlines,"$1,300",368635,22118,0.37%,0.52%,6.00%,"$1,600,171"
Porcupine Airlines,"$1,562",823946,90634,0.14%,0.26%,11.00%,"$1,382,499"
Porpoise Airlines,"$1,286",1441815,778580,0.17%,0.37%,54.00%,"-$659,486"
Porrima Airlines,$442,1329359,1103368,0.97%,1.61%,83.00%,"-$2,155,290"
Port Nicholson Airlines,"$1,927",177644,12435,0.27%,0.41%,7.00%,"$822,954"
Port-Salut Airlines,$366,210707,71640,0.41%,0.70%,34.00%,"$134,769"
Possum Airlines,"$1,697",1526639,702254,0.15%,0.30%,46.00%,"$204,569"
Possumhaw Airlines,$770,11636,2560,0.57%,0.81%,22.00%,"$34,940"
Postel Airlines,"$1,113",697164,467100,0.42%,0.57%,67.00%,"$266,386"
Potato Airlines,"$1,863",348539,52281,0.17%,0.28%,15.00%,"$843,115"
Pouligny-Saint-Pierre Airlines,"$1,738",385020,215611,0.16%,0.27%,56.00%,"$85,783"
Pourly Airlines,$286,928310,686949,0.82%,1.62%,74.00%,"-$999,045"
Praecipua Airlines,"$1,303",86728,22549,0.38%,0.62%,26.00%,"$242,580"
Prairie Rose Airlines,$506,1271928,572368,0.93%,1.15%,45.00%,"$2,652,604"
Prastost Airlines,$416,1274939,956204,1.08%,1.60%,75.00%,"-$618,344"
Prawn Airlines,$722,856666,668199,0.65%,1.03%,78.00%,"-$925,024"
Pressato Airlines,"$1,870",1423785,911222,0.09%,0.22%,64.00%,"-$1,465,927"
Prickly Thistle Airlines,$325,345548,293716,1.65%,2.51%,85.00%,"-$548,041"
Prima Hyadum Airlines,"$1,036",1907997,1144798,0.41%,0.61%,60.00%,"$732,672"
Prince-Jean Airlines,$934,574726,442539,0.44%,0.62%,77.00%,"-$202,821"
Proboscis Monkey Airlines,"$1,048",1281117,883971,0.44%,0.64%,69.00%,"-$67,901"
Processed Cheddar Airlines,$214,481480,284073,2.09%,3.22%,59.00%,"$196,927"
Procyon Airlines,"$1,124",681053,558463,0.36%,0.60%,82.00%,"-$974,175"
Propus Airlines,"$1,874",1530001,1239301,0.24%,0.32%,81.00%,"-$512,245"
Provel Airlines,"$1,534",1026524,872545,0.27%,0.40%,85.00%,"-$1,170,235"
Provolone Airlines,"$1,111",1769120,1026090,0.39%,0.51%,58.00%,"$1,918,785"
Proxima Centauri Airlines,"$1,833",1089339,174294,0.17%,0.28%,16.00%,"$2,539,033"
Pudina Airlines,"$1,350",478089,66932,0.29%,0.52%,14.00%,"$1,374,222"
Pufferfish Airlines,"$1,672",1165415,93233,0.09%,0.25%,8.00%,"$1,362,604"
Puffin Airlines,"$1,358",1584467,110913,0.36%,0.46%,7.00%,"$6,983,378"
Pug Airlines,"$1,317",1657766,1077548,0.23%,0.32%,65.00%,"$526,340"
Puma Airlines,"$1,180",346177,31156,0.38%,0.65%,9.00%,"$1,320,388"
Purple Emperor Butterfly Airlines,"$1,707",1569899,1114628,0.29%,0.37%,71.00%,"$800,493"
Purple Flowered Toothwort Airlines,$286,841123,487851,0.79%,1.92%,58.00%,"-$764,074"
Purple Raspberry Airlines,$656,54078,42722,0.78%,1.19%,79.00%,"-$57,093"
Puss Moth Airlines,"$1,108",505773,85981,0.25%,0.45%,17.00%,"$954,193"
Pyengana Cheddar Airlines,$573,989452,375992,0.82%,1.20%,38.00%,"$2,051,330"
Pygmy Hippopotamus Airlines,"$1,543",1183284,236657,0.18%,0.26%,20.00%,"$2,314,503"
Pygmy Marmoset Airlines,$349,457008,91402,0.87%,1.36%,20.00%,"$949,661"
Pyramide Airlines,"$1,600",1161443,603950,0.16%,0.32%,52.00%,"-$73,866"
Quadrimaculatus Airlines,"$1,921",268077,88465,0.20%,0.34%,33.00%,"$468,735"
Quadrivittatus Airlines,$687,1326414,583622,0.52%,0.98%,44.00%,"$763,485"
Quail Airlines,$857,51231,43034,0.46%,0.69%,84.00%,"-$51,620"
Quark Airlines,$544,11480,5855,0.29%,0.64%,51.00%,"-$2,125"
Quartirolo Lombardo Airlines,"$1,284",1328191,624250,0.31%,0.54%,47.00%,"$919,505"
Quatre-Vents Airlines,"$1,210",1299866,337965,0.18%,0.37%,26.00%,"$1,326,384"
Queen Annes Lace Airlines,$229,1699481,1019689,1.97%,2.56%,60.00%,"$1,672,287"
Queens Gilli Flower Airlines,"$1,952",562097,5621,0.14%,0.24%,1.00%,"$1,519,966"
Quercitron Airlines,"$1,849",411173,230257,0.28%,0.42%,56.00%,"$289,958"
Quercy Petit Airlines,"$1,075",489812,63676,0.38%,0.66%,13.00%,"$1,566,563"
Queso Blanco Airlines,$545,1839349,0,0.54%,0.94%,0.00%,"$5,426,080"
Queso Blanco Con Frutas --Pina Y Mango Airlines,"$1,434",570291,467639,0.13%,0.34%,82.00%,"-$1,204,799"
Queso De Murcia Airlines,$428,1984950,178646,1.01%,1.29%,9.00%,"$7,632,130"
Queso Del Montsec Airlines,"$1,612",1736270,729233,0.18%,0.28%,42.00%,"$1,727,243"
Queso Del Tietar Airlines,"$1,964",623262,205676,0.26%,0.40%,33.00%,"$1,512,287"
Queso Fresco Airlines,"$1,493",1755035,35101,0.11%,0.27%,2.00%,"$2,827,009"
Queso Iberico Airlines,$314,331456,198874,1.52%,2.55%,60.00%,"-$6,632"
Queso Jalapeno Airlines,$333,1232506,727179,0.50%,1.12%,59.00%,"-$671,471"
Queso Majorero Airlines,$695,1198698,599349,0.63%,1.02%,50.00%,"$994,919"
Queso Media Luna Airlines,$373,735385,154431,0.64%,0.91%,21.00%,"$1,234,049"
Queso Para Frier Airlines,$560,1587502,127000,0.81%,1.36%,8.00%,"$6,242,059"
Queso Quesadilla Airlines,$839,276461,152054,0.42%,0.69%,55.00%,"$99,247"
Quetzal Airlines,$235,728783,466421,1.81%,2.71%,64.00%,"$121,562"
Quokka Airlines,"$1,242",1749226,1381889,0.18%,0.27%,79.00%,"-$784,704"
Quoll Airlines,"$1,134",1184673,627877,0.45%,0.63%,53.00%,"$1,582,484"
Rabacal Airlines,"$1,715",1984362,1547802,0.14%,0.24%,78.00%,"-$1,466,442"
Rabbit Airlines,"$1,243",1662038,1030464,0.25%,0.46%,62.00%,"-$662,823"
Raccoon Airlines,$527,1119854,604721,0.68%,1.06%,54.00%,"$651,084"
Raccoon Dog Airlines,"$1,989",198229,33699,0.08%,0.19%,17.00%,"$207,288"
Raclette Airlines,"$1,952",633202,215289,0.14%,0.26%,34.00%,"$605,466"
Radiated Tortoise Airlines,"$1,106",1463115,160943,0.33%,0.51%,11.00%,"$4,435,870"
Radical Weed Airlines,"$1,295",1718497,154665,0.35%,0.53%,9.00%,"$6,731,523"
Ragdoll Airlines,$404,1260704,302569,0.98%,1.59%,24.00%,"$3,034,262"
Ragusano Airlines,$370,1168826,303895,0.41%,0.91%,26.00%,"$770,256"
Ragweed Airlines,"$1,854",1512154,226823,0.14%,0.29%,15.00%,"$2,750,609"
Ragwort Airlines,$318,514514,87467,0.49%,1.01%,17.00%,"$521,873"
Rambler Rose Airlines,"$1,251",180781,0,0.32%,0.56%,0.00%,"$730,355"
Ran Airlines,$953,450899,103707,0.45%,0.69%,23.00%,"$1,246,419"
Rana Airlines,"$1,192",1292741,711008,0.43%,0.57%,55.00%,"$1,813,713"
Rantipole Airlines,"$1,853",951010,389914,0.12%,0.20%,41.00%,"$719,059"
Rapeseed Airlines,$744,741285,481835,0.34%,0.62%,65.00%,"-$360,634"
Rapeto Airlines,$385,135548,79973,0.63%,1.26%,59.00%,"-$60,399"
Rasalas Airlines,"$1,965",551669,303418,0.17%,0.33%,55.00%,"-$108,955"
Rasalgethi Airlines,$900,1171540,11715,0.52%,0.84%,1.00%,"$5,358,978"
Rasalhague Airlines,"$1,757",1615087,1033656,0.23%,0.29%,64.00%,"$1,246,200"
Raschera Airlines,$756,1003124,591843,0.67%,1.00%,59.00%,"$601,474"
Raspberry Airlines,"$1,037",1971112,749023,0.30%,0.56%,38.00%,"$1,859,939"
Rastaban Airlines,"$1,471",1196798,670207,0.27%,0.35%,56.00%,"$1,411,742"
Rat Airlines,"$1,055",1225256,134778,0.45%,0.76%,11.00%,"$4,803,005"
Rattlesnake Airlines,"$1,623",718847,474439,0.22%,0.39%,66.00%,"-$420,094"
Reblochon Airlines,"$1,492",929610,427621,0.12%,0.26%,46.00%,"-$36,628"
Red Ash Airlines,"$1,984",285842,154355,0.18%,0.26%,54.00%,"$235,189"
Red Birch Airlines,"$1,869",130873,108625,0.27%,0.41%,83.00%,"-$184,887"
Red Brush Airlines,"$1,290",1568134,141132,0.40%,0.51%,9.00%,"$7,265,479"
Red Deadnettle Airlines,$720,202731,158130,0.68%,0.87%,78.00%,"$7,543"
